LA_name,nyanzu_rae_2020index_2015,nyanzu_rae_2020index_2015_ew,nyanzu_rae_2020index_2019
Barking and Dagenham,0.6272727272727273,0.6181818181818182,0.44545454545454544
Barnet,0.004739336492890996,0.004739336492890996,0.04739336492890995
Barnsley,0.2653061224489796,0.2653061224489796,0.2857142857142857
Bath and North East Somerset,0.3275862068965517,0.3275862068965517,0.3275862068965517
Bedford,0.019417475728155338,0.019417475728155338,0.009708737864077669
Bexley,0.1232876712328767,0.136986301369863,0.1232876712328767
Birmingham,0.4647887323943662,0.4616588419405321,0.48513302034428796
Blackburn with Darwen,0.32222222222222224,0.3111111111111111,0.4222222222222222
Blackpool,0.46808510638297873,0.46808510638297873,0.48936170212765956
Blaenau Gwent,0.3404255319148936,0.40425531914893614,0.3617021276595745
Bolton,0.1797752808988764,0.1797752808988764,0.23595505617977527
Bournemouth,0.05454545454545454,0.05454545454545454,0.06363636363636363
Bracknell Forest,0.41333333333333333,0.41333333333333333,0.41333333333333333
Bradford,0.2861736334405145,0.2829581993569132,0.31189710610932475
Brent,0.24431818181818182,0.24431818181818182,0.18181818181818182
Bridgend,0.056818181818181816,0.1590909090909091,0.03409090909090909
Brighton and Hove,0.07878787878787878,0.07878787878787878,0.09090909090909091
Bristol City of,0.08614232209737828,0.08239700374531835,0.056179775280898875
Bromley,0.19,0.19,0.2
Buckinghamshire,0.4722222222222222,0.4722222222222222,0.47530864197530864
Bury,0.08333333333333333,0.075,0.11666666666666667
Caerphilly,0.15454545454545454,0.19090909090909092,0.14545454545454545
Calderdale,0.1171875,0.1171875,0.1484375
Cambridgeshire,0.3209549071618037,0.3209549071618037,0.32891246684350134
Camden,0.16541353383458646,0.15789473684210525,0.10526315789473684
Cardiff,0,0.009345794392523364,0.03271028037383177
Carmarthenshire,0.008928571428571428,0.05357142857142857,0.05357142857142857
Central Bedfordshire,0.25949367088607594,0.25949367088607594,0.2721518987341772
Ceredigion,0.2391304347826087,0.21739130434782608,0.21739130434782608
Cheshire East,0.34024896265560167,0.34024896265560167,0.35684647302904565
Cheshire West and Chester,0.15165876777251186,0.15165876777251186,0.13744075829383887
City of London,0.5714285714285714,0.5714285714285714,0.2857142857142857
Conwy,0.056338028169014086,0.04225352112676056,0.08450704225352113
Cornwall,0.10429447852760736,0.10429447852760736,0.1165644171779141
Coventry,0.21025641025641026,0.2,0.19487179487179487
Croydon,0.08597285067873303,0.08597285067873303,0.058823529411764705
Cumbria,0.147239263803681,0.15030674846625766,0.13803680981595093
Darlington,0.07692307692307693,0.07692307692307693,0.12307692307692308
Denbighshire,0.05,0.03333333333333333,0.05
Derby,0.07236842105263158,0.06578947368421052,0.07894736842105263
Derbyshire,0.07707910750507099,0.0872210953346856,0.06288032454361055
Devon,0.0982532751091703,0.0982532751091703,0.09606986899563319
Doncaster,0.28865979381443296,0.28865979381443296,0.28865979381443296
Dorset,0.22088353413654618,0.22088353413654618,0.21285140562248997
Dudley,0.0945273631840796,0.0945273631840796,0.14925373134328357
Durham,0.18404907975460122,0.18098159509202455,0.24233128834355827
Ealing,0.1326530612244898,0.12244897959183673,0.10714285714285714
East Riding of Yorkshire,0.18867924528301888,0.18867924528301888,0.1792452830188679
East Sussex,0.04819277108433735,0.04819277108433735,0.03313253012048193
Enfield,0.4207650273224044,0.41530054644808745,0.34972677595628415
Essex,0.1111111111111111,0.1145475372279496,0.11912943871706758
Flintshire,0.22340425531914893,0.2127659574468085,0.20212765957446807
Gateshead,0.21428571428571427,0.21428571428571427,0.1984126984126984
Gloucestershire,0.1742627345844504,0.1742627345844504,0.1769436997319035
Greenwich,0.28289473684210525,0.27631578947368424,0.25
Gwynedd,0.0273972602739726,0.0136986301369863,0.0136986301369863
Hackney,0.5138888888888888,0.5138888888888888,0.4305555555555556
Halton,0.22784810126582278,0.22784810126582278,0.26582278481012656
Hammersmith and Fulham,0.14035087719298245,0.12280701754385964,0.13157894736842105
Hampshire,0.39832535885167464,0.39832535885167464,0.4019138755980861
Haringey,0.36551724137931035,0.36551724137931035,0.27586206896551724
Harrow,0.043795620437956206,0.043795620437956206,0.058394160583941604
Hartlepool,0.39655172413793105,0.39655172413793105,0.4482758620689655
Havering,0.03333333333333333,0.03333333333333333,0.05333333333333334
Herefordshire,0.02586206896551724,0.02586206896551724,0.034482758620689655
Hertfordshire,0.2985507246376812,0.3,0.30289855072463767
Hillingdon,0.037267080745341616,0.049689440993788817,0.08074534161490683
Hounslow,0.09154929577464789,0.09154929577464789,0.09154929577464789
Isle of Anglesey,0.09090909090909091,0.09090909090909091,0.09090909090909091
Isle of Wight,0.12359550561797752,0.11235955056179775,0.16853932584269662
Isles Of Scilly,1,1,1
Islington,0.43548387096774194,0.4112903225806452,0.3629032258064516
Kensington and Chelsea,0.1346153846153846,0.1346153846153846,0.125
Kent,0.05506607929515418,0.05726872246696035,0.05286343612334802
Kingston upon Hull City of,0.46987951807228917,0.46987951807228917,0.4759036144578313
Kingston upon Thames,0.31683168316831684,0.31683168316831684,0.32673267326732675
Kirklees,0.08108108108108109,0.08108108108108109,0.11969111969111969
Knowsley,0.56,0.55,0.57
Lambeth,0.28804347826086957,0.28804347826086957,0.23369565217391305
Lancashire,0.0066050198150594455,0.0066050198150594455,0.03302509907529723
Leeds,0.06016597510373444,0.058091286307053944,0.07261410788381743
Leicester,0.38144329896907214,0.37628865979381443,0.37628865979381443
Leicestershire,0.27525252525252525,0.27525252525252525,0.2803030303030303
Lewisham,0.3699421965317919,0.3699421965317919,0.31213872832369943
Lincolnshire,0.002380952380952381,0.004761904761904762,0.016666666666666666
Liverpool,0.5116279069767442,0.5083056478405316,0.53156146179402
Luton,0.19834710743801653,0.19834710743801653,0.19008264462809918
Manchester,0.44680851063829785,0.4432624113475177,0.4716312056737589
Medway,0.04294478527607362,0.04294478527607362,0.049079754601226995
Merthyr Tydfil,0.19444444444444445,0.25,0.19444444444444445
Merton,0.2,0.2,0.224
Middlesbrough,0.5,0.5,0.5116279069767442
Milton Keynes,0.012987012987012988,0.012987012987012988,0.025974025974025976
Monmouthshire,0.4107142857142857,0.4107142857142857,0.42857142857142855
Neath Port Talbot,0.15384615384615385,0.2087912087912088,0.18681318681318682
Newcastle upon Tyne,0.16,0.15428571428571428,0.21714285714285714
Newham,0.35365853658536583,0.3475609756097561,0.2073170731707317
Newport,0.12631578947368421,0.14736842105263157,0.10526315789473684
Norfolk,0,0,0.00558659217877095
North East Lincolnshire,0.25471698113207547,0.24528301886792453,0.2641509433962264
North Lincolnshire,0.0891089108910891,0.07920792079207921,0.0891089108910891
North Somerset,0.17777777777777778,0.17777777777777778,0.17777777777777778
North Tyneside,0.061068702290076333,0.05343511450381679,0.0916030534351145
North Yorkshire,0.2994652406417112,0.2994652406417112,0.30213903743315507
Northamptonshire,0.1066350710900474,0.11137440758293839,0.13507109004739337
Northumberland,0.02912621359223301,0.038834951456310676,0.038834951456310676
Nottingham,0.4105263157894737,0.4052631578947368,0.42105263157894735
Nottinghamshire,0.056112224448897796,0.06212424849699399,0.056112224448897796
Oldham,0.2624113475177305,0.2553191489361702,0.3262411347517731
Oxfordshire,0.42997542997543,0.42997542997543,0.42997542997543
Pembrokeshire,0,0.04225352112676056,0.04225352112676056
Peterborough,0.22321428571428573,0.22321428571428573,0.19642857142857142
Plymouth,0.1125,0.1125,0.1375
Poole,0.15053763440860216,0.16129032258064516,0.12903225806451613
Portsmouth,0.1111111111111111,0.09523809523809523,0.0873015873015873
Powys,0.24050632911392406,0.26582278481012656,0.26582278481012656
Reading,0.03125,0.03125,0.0625
Redbridge,0.03067484662576687,0.03067484662576687,0.006134969325153374
Redcar and Cleveland,0.23863636363636365,0.23863636363636365,0.23863636363636365
"Rhondda, Cynon, Taff",0.16883116883116883,0.19480519480519481,0.18181818181818182
Richmond upon Thames,0.4956521739130435,0.4956521739130435,0.48695652173913045
Rochdale,0.3208955223880597,0.3208955223880597,0.31343283582089554
Rotherham,0.23809523809523808,0.23809523809523808,0.2619047619047619
Rutland,0.4583333333333333,0.4583333333333333,0.4583333333333333
Salford,0.2847682119205298,0.2847682119205298,0.31125827814569534
Sandwell,0.5913978494623656,0.5860215053763441,0.6075268817204301
Sefton,0.17989417989417988,0.164021164021164,0.17989417989417988
Sheffield,0.08405797101449275,0.08115942028985507,0.10144927536231885
Shropshire,0.07731958762886598,0.07731958762886598,0.08247422680412371
Slough,0.04938271604938271,0.04938271604938271,0.024691358024691357
Solihull,0.15671641791044777,0.15671641791044777,0.15671641791044777
Somerset,0.1148036253776435,0.1148036253776435,0.10574018126888217
South Gloucestershire,0.35802469135802467,0.35802469135802467,0.35802469135802467
South Tyneside,0.4411764705882353,0.43137254901960786,0.4411764705882353
Southampton,0.060810810810810814,0.060810810810810814,0.07432432432432433
Southend-on-Sea,0.09345794392523364,0.09345794392523364,0.08411214953271028
Southwark,0.3136094674556213,0.3076923076923077,0.25443786982248523
St. Helens,0.226890756302521,0.2184873949579832,0.24369747899159663
Staffordshire,0.16697588126159554,0.17625231910946196,0.16326530612244897
Stockport,0.13157894736842105,0.14210526315789473,0.11578947368421053
Stockton-on-Tees,0.041666666666666664,0.041666666666666664,0.06666666666666667
Stoke-on-Trent,0.3333333333333333,0.3270440251572327,0.3584905660377358
Suffolk,0.12415349887133183,0.12641083521444696,0.11512415349887133
Sunderland,0.3675675675675676,0.3675675675675676,0.372972972972973
Surrey,0.49226441631504925,0.49226441631504925,0.49507735583684953
Sutton,0.19672131147540983,0.20491803278688525,0.1885245901639344
Swansea,0.04054054054054054,0.02702702702702703,0.060810810810810814
Swindon,0.06060606060606061,0.06060606060606061,0.06818181818181818
Tameside,0.2746478873239437,0.2676056338028169,0.3028169014084507
Telford and Wrekin,0.1574074074074074,0.1574074074074074,0.1574074074074074
The Vale of Glamorgan,0.21518987341772153,0.189873417721519,0.21518987341772153
Thurrock,0.05102040816326531,0.05102040816326531,0.04081632653061224
Torbay,0.29213483146067415,0.2808988764044944,0.29213483146067415
Torfaen,0.15,0.18333333333333332,0.15
Tower Hamlets,0.5793103448275863,0.5724137931034483,0.47586206896551725
Trafford,0.18115942028985507,0.18115942028985507,0.15942028985507245
Wakefield,0.13875598086124402,0.13875598086124402,0.15789473684210525
Walsall,0.40476190476190477,0.40476190476190477,0.42857142857142855
Waltham Forest,0.22972972972972974,0.22297297297297297,0.1554054054054054
Wandsworth,0.09392265193370165,0.09392265193370165,0.11602209944751381
Warrington,0.15748031496062992,0.15748031496062992,0.13385826771653545
Warwickshire,0.23684210526315788,0.23684210526315788,0.22514619883040934
West Berkshire,0.41414141414141414,0.41414141414141414,0.42424242424242425
West Sussex,0.2559055118110236,0.2559055118110236,0.25393700787401574
Westminster,0.1532258064516129,0.1532258064516129,0.12903225806451613
Wigan,0.12,0.115,0.15
Wiltshire,0.25874125874125875,0.26223776223776224,0.2692307692307692
Windsor and Maidenhead,0.5806451612903226,0.5806451612903226,0.5806451612903226
Wirral,0.14563106796116504,0.14563106796116504,0.16990291262135923
Wokingham,0.71,0.71,0.71
Wolverhampton,0.5159235668789809,0.5095541401273885,0.5159235668789809
Worcestershire,0.1553133514986376,0.1553133514986376,0.14986376021798364
Wrexham,0.07058823529411765,0.011764705882352941,0.047058823529411764
York,0.375,0.375,0.375
